NIDB,--,--,51.55M,After Market Close,Monday, July 31, 2023
MUEL,--,--,49.94M,After Market Close,Monday, July 31, 2023
NCSM,--,--,46.9M,After Market Close,Monday, July 31, 2023
GAIA,-0.04,19.9M,45.92M,After Market Close,Monday, July 31, 2023
ODTC,--,--,43.65M,After Market Close,Monday, July 31, 2023
BKOR,--,--,43.21M,After Market Close,Monday, July 31, 2023
EMMS,--,--,41M,After Market Close,Monday, July 31, 2023
PXS,0.23,8.7M,40.94M,Before Market Open,Monday, July 31, 2023
HLFN,--,--,39.54M,After Market Close,Monday, July 31, 2023
CNAF,--,--,35.76M,After Market Close,Monday, July 31, 2023
BEDU,--,--,32.1M,After Market Close,Monday, July 31, 2023
ALIM,-0.275,20.47M,29.24M,After Market Close,Monday, July 31, 2023
TSBA,--,--,26.42M,After Market Close,Monday, July 31, 2023
ALBY,--,--,24.97M,After Market Close,Monday, July 31, 2023
ROYTL,--,--,21.65M,After Market Close,Monday, July 31, 2023
ATGN,--,--,21M,After Market Close,Monday, July 31, 2023
STLY,--,--,20.65M,After Market Close,Monday, July 31, 2023
TPHS,--,--,19.38M,After Market Close,Monday, July 31, 2023
WEBB,--,--,15.98M,After Market Close,Monday, July 31, 2023
PIXY,-0.56,5M,13.76M,After Market Close,Monday, July 31, 2023
GTPS,--,--,13.36M,After Market Close,Monday, July 31, 2023
SICP,0.18,10.5M,12.66M,After Market Close,Monday, July 31, 2023
LFSWF,--,--,12.1M,After Market Close,Monday, July 31, 2023
WCFB,--,--,10.40M,After Market Close,Monday, July 31, 2023
TDCB,--,--,9.28M,After Market Close,Monday, July 31, 2023
GTMAY,--,--,7.35M,After Market Close,Monday, July 31, 2023
VIDE,--,--,6.76M,After Market Close,Monday, July 31, 2023
LEXX,-0.25,10K,6.55M,After Market Close,Monday, July 31, 2023
SBNY,3.71,637.8M,5.61M,After Market Close,Monday, July 31, 2023
SPCB,-0.33,4.6M,5.58M,Before Market Open,Monday, July 31, 2023
XTLB,--,--,4.86M,After Market Close,Monday, July 31, 2023
ASPU,-0.075,14.35M,4.34M,After Market Close,Monday, July 31, 2023
MACE,--,--,4.09M,After Market Close,Monday, July 31, 2023
EMWPF,0.03,223.04M,3.79M,After Market Close,Monday, July 31, 2023
YVR,--,--,3.23M,After Market Close,Monday, July 31, 2023
LBAS,--,--,1.25M,After Market Close,Monday, July 31, 2023
NICH,--,--,773.46K,After Market Close,Monday, July 31, 2023
BIOAF,--,--,599.18K,After Market Close,Monday, July 31, 2023
TFII,1.73,1.93B,528.91K,After Market Close,Monday, July 31, 2023
CLHI,--,--,383.19K,After Market Close,Monday, July 31, 2023
ZVOI,--,--,51.33K,After Market Close,Monday, July 31, 2023
MCET,--,--,10K,After Market Close,Monday, July 31, 2023
NORNQ,--,--,7.02K,After Market Close,Monday, July 31, 2023
GNCAQ,-0.19,--,5.88K,After Market Close,Monday, July 31, 2023
REDFY,--,--,5.18K,After Market Close,Monday, July 31, 2023
TIXC,--,--,4.73K,After Market Close,Monday, July 31, 2023
OPMZ,--,--,4.26K,After Market Close,Monday, July 31, 2023
TCEC,--,--,3K,After Market Close,Monday, July 31, 2023
ESINQ,--,--,2.4K,After Market Close,Monday, July 31, 2023
SWRL,--,--,2.21K,After Market Close,Monday, July 31, 2023
BCRHF,--,--,1.76K,After Market Close,Monday, July 31, 2023
PRZM,--,--,1.01K,After Market Close,Monday, July 31, 2023
PRXIQ,--,--,793.08,After Market Close,Monday, July 31, 2023
SNSGF,--,--,19,After Market Close,Monday, July 31, 2023
PNBC,--,--,3,After Market Close,Monday, July 31, 2023
GPFOY,0.3234,658.44M,,After Market Close,Monday, July 31, 2023
MRK,-2.18,14.43B,269.83B,Before Market Open,Tuesday, August 1, 2023
TM,4.01,69.14B,227.40B,After Market Close,Tuesday, August 1, 2023
PFE,0.5733,13.43B,203.63B,Before Market Open,Tuesday, August 1, 2023
AMD,0.5739,5.32B,181.91B,After Market Close,Tuesday, August 1, 2023
HSBC,1.59,15.79B,161.15B,Before Market Open,Tuesday, August 1, 2023
CAT,4.57,16.41B,134.21B,Before Market Open,Tuesday, August 1, 2023
SBUX,0.9512,9.29B,116.07B,After Market Close,Tuesday, August 1, 2023
BP,1.13,52.83B,104.65B,Before Market Open,Tuesday, August 1, 2023
DEO,--,--,99.05B,After Market Close,Tuesday, August 1, 2023
UBER,-0.0125,9.34B,97.43B,After Market Close,Tuesday, August 1, 2023
MUFG,0.2249,7.2B,96.17B,After Market Close,Tuesday, August 1, 2023
VRTX,3.86,2.42B,91.19B,After Market Close,Tuesday, August 1, 2023
MO,1.3,5.44B,81.2B,Before Market Open,Tuesday, August 1, 2023
ETN,2.11,5.75B,81.04B,Before Market Open,Tuesday, August 1, 2023
ITW,2.39,4.14B,79.02B,Before Market Open,Tuesday, August 1, 2023
DPSGY,0.8974,23.53B,61.89B,Before Market Open,Tuesday, August 1, 2023
MAR,2.17,5.94B,60.55B,Before Market Open,Tuesday, August 1, 2023
EPD,0.5924,12.44B,57.52B,Before Market Open,Tuesday, August 1, 2023
MITSY,17.94,24.38B,57.28B,Before Market Open,Tuesday, August 1, 2023
MPC,4.54,32.68B,55.93B,After Market Close,Tuesday, August 1, 2023
ECL,1.21,3.86B,52.26B,Before Market Open,Tuesday, August 1, 2023
PXD,4.21,4.71B,52.22B,After Market Close,Tuesday, August 1, 2023
BIDU,16.81,33.33B,49.46B,After Market Close,Tuesday, August 1, 2023
IDXX,2.48,934.77M,45.88B,Before Market Open,Tuesday, August 1, 2023
AFL,1.44,4.48B,43.74B,After Market Close,Tuesday, August 1, 2023
AIG,1.59,11.51B,43.54B,After Market Close,Tuesday, August 1, 2023
IQV,2.37,3.71B,41.96B,Before Market Open,Tuesday, August 1, 2023
SYY,1.33,19.95B,38.55B,Before Market Open,Tuesday, August 1, 2023
ROK,3.18,2.33B,38.28B,Before Market Open,Tuesday, August 1, 2023
EA,1.03,1.59B,37.51B,After Market Close,Tuesday, August 1, 2023
AME,1.51,1.64B,36.47B,Before Market Open,Tuesday, August 1, 2023
MPLX,0.8882,2.69B,35.49B,Before Market Open,Tuesday, August 1, 2023
PRU,3.04,12.66B,35.23B,After Market Close,Tuesday, August 1, 2023
DVN,1.19,3.14B,34.01B,After Market Close,Tuesday, August 1, 2023
PEG,0.6322,1.96B,31.52B,Before Market Open,Tuesday, August 1, 2023
ARES,0.8551,729.55M,29.95B,Before Market Open,Tuesday, August 1, 2023
ALL,-3.88,12.3B,29.57B,After Market Close,Tuesday, August 1, 2023
HSNGY,--,--,29.14B,After Market Close,Tuesday, August 1, 2023
ZBH,1.81,1.82B,29.09B,Before Market Open,Tuesday, August 1, 2023
GPN,2.59,2.19B,28.52B,Before Market Open,Tuesday, August 1, 2023
WEC,0.849,2.05B,28.41B,Before Market Open,Tuesday, August 1, 2023
IT,2.51,1.48B,27.73B,Before Market Open,Tuesday, August 1, 2023
ALPMY,0.218,2.62B,26.54B,Before Market Open,Tuesday, August 1, 2023
ES,0.9111,2.69B,25.15B,After Market Close,Tuesday, August 1, 2023
FE,0.457,2.91B,22.54B,After Market Close,Tuesday, August 1, 2023
PAYC,1.6,398.14M,21.32B,After Market Close,Tuesday, August 1, 2023
HWM,0.4323,1.61B,20.84B,Before Market Open,Tuesday, August 1, 2023
SIRI,0.0746,2.24B,19.77B,Before Market Open,Tuesday, August 1, 2023
PINS,0.1188,696.4M,19.45B,After Market Close,Tuesday, August 1, 2023
EXAS,-0.4748,601.14M,17.87B,After Market Close,Tuesday, August 1, 2023
OWL,0.1561,395.17M,17.42B,Before Market Open,Tuesday, August 1, 2023
RVTY,1.19,708.61M,15.82B,Before Market Open,Tuesday, August 1, 2023
ZBRA,3.32,1.32B,15.39B,Before Market Open,Tuesday, August 1, 2023
TAPa,1.62,3.28B,15.25B,Before Market Open,Tuesday, August 1, 2023
TAP,1.62,3.28B,15.25B,Before Market Open,Tuesday, August 1, 2023
SWK,-0.3875,4.14B,15.16B,Before Market Open,Tuesday, August 1, 2023
INCY,0.7118,911.68M,14.07B,Before Market Open,Tuesday, August 1, 2023
